timestep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_boxmc_volume_acceptance	hpmc_d	lx	hpmc_boxmc_betaP	hpmc_overlap_count
0	0	0	0	0.5	60	1	0
10000	0.8151476252	0.922046285	0.8041	0.5	50.7460646	1.19	0
20000	0.6811955168	0.8544542033	0.78855	0.5	39.84257293	1.38	0
30000	0.4312039312	0.7633587786	0.7510333333	0.5	32.71326893	1.57	0
40000	0.3521303258	0.6408977556	0.708825	0.5	30.54782958	1.76	0
50000	0.3721804511	0.6471321696	0.67236	0.5	30.73584267	1.95	0
60000	0.3078848561	0.6154806492	0.6459333333	0.5	29.74008089	2.14	0
70000	0.2748091603	0.5687960688	0.6203142857	0.5	29.01350929	2.33	0
80000	0.2577065351	0.5792141952	0.596675	0.5	28.88215359	2.52	0
90000	0.2091254753	0.5659679408	0.5762333333	0.5	28.67025032	2.71	0
100000	0.2213930348	0.5263819095	0	0.6049551066	28.31621096	2.9	0
110000	0.1645408163	0.4840686275	0.3738	0.6049551066	27.84850834	3.09	0
120000	0.1409477521	0.4877734878	0.3588	0.6049551066	27.62955268	3.28	0
130000	0.1082725061	0.5154241645	0.3510666667	0.6049551066	27.41457212	3.47	0
140000	0.1194029851	0.4572864322	0.3406	0.6049551066	27.13453677	3.66	0
150000	0.1138310894	0.4469987229	0.33158	0.6049551066	26.93777571	3.85	0
160000	0.0824742268	0.4441747573	0.3243833333	0.6049551066	26.65895845	4.04	0
170000	0.1149567367	0.4791403287	0.3158571429	0.6049551066	26.86427089	4.23	0
180000	0.1051314143	0.3920099875	0.309925	0.6049551066	26.48366878	4.42	0
190000	0.09823677582	0.3908188586	0.3030111111	0.6049551066	26.24220455	4.61	0
200000	0.07233502538	0.407635468	0	0.4767451849	26.30690231	4.8	0
210000	0.1407407407	0.3911392405	0.2378	0.4767451849	26.09290265	4.99	0
220000	0.07793764988	0.3524804178	0.22715	0.4767451849	25.70679133	5.18	0
230000	0.101910828	0.3190184049	0.2215666667	0.4767451849	25.62782847	5.37	0
240000	0.08610086101	0.3634053367	0.216275	0.4767451849	25.46517056	5.56	0
250000	0.08524173028	0.3341523342	0.21156	0.4767451849	25.38517455	5.75	0
260000	0.09811320755	0.350310559	0.2081333333	0.4767451849	25.5030338	5.94	0
270000	0.08163265306	0.3376792699	0.2061857143	0.4767451849	25.40409009	6.13	0
280000	0.07958921694	0.3239951279	0.2028625	0.4767451849	25.01031428	6.32	0
290000	0.07634543179	0.3183520599	0.2004	0.4767451849	25.11982221	6.51	0
300000	0.06783919598	0.2960199005	0	0.3371103689	25.0446373	6.7	0
310000	0.1237623762	0.2613636364	0.161	0.3371103689	24.95805066	6.89	0
320000	0.1362530414	0.3020565553	0.1639	0.3371103689	24.85764989	7.08	0
330000	0.1108374384	0.2398477157	0.1603333333	0.3371103689	24.57968463	7.27	0
340000	0.1226295828	0.2632880099	0.1571	0.3371103689	24.49281502	7.46	0
350000	0.1068796069	0.2608142494	0.15508	0.3371103689	24.4929322	7.65	0
360000	0.08505467801	0.2792792793	0.1540333333	0.3371103689	24.43577825	7.84	0
370000	0.085	0.23375	0.1516857143	0.3371103689	24.22556112	8.03	0
380000	0.09873417722	0.2839506173	0.1493875	0.3371103689	24.30518884	8.22	0
390000	0.0907960199	0.2613065327	0.1484222222	0.3371103689	24.23170246	8.41	0
400000	0.07213930348	0.2211055276	0	0.258230888	24.11248752	8.6	0
410000	0.146835443	0.2654320988	0.1458	0.258230888	24.05438475	8.79	0
420000	0.1369346734	0.2201492537	0.14295	0.258230888	24.0441021	8.98	0
430000	0.1226765799	0.2269861286	0.1428666667	0.258230888	23.93855695	9.17	0
440000	0.1315136476	0.1889168766	0.14075	0.258230888	23.7906284	9.36	0
450000	0.1050583658	0.2086851628	0.13908	0.258230888	23.69849808	9.55	0
460000	0.1211372064	0.2022756005	0.1380166667	0.258230888	23.84937709	9.74	0
470000	0.09359605911	0.192893401	0.1364714286	0.258230888	23.70271134	9.93	0
480000	0.08626974484	0.1763191763	0.1341375	0.258230888	23.49455942	10.12	0
490000	0.1054545455	0.1574193548	0.1317555556	0.258230888	23.45760367	10.31	0
500000	0.08585858586	0.1918316832	0	0.2083445383	23.49823203	10.5	0
510000	0.1642335766	0.1876606684	0.1298	0.2083445383	23.36001038	10.69	0
520000	0.1319796954	0.1761083744	0.13	0.2083445383	23.28890797	10.88	0
530000	0.1346633416	0.1691729323	0.1308	0.2083445383	23.2042438	11.07	0
540000	0.1170731707	0.1846153846	0.131025	0.2083445383	23.16770976	11.26	0
550000	0.1181938911	0.1700118064	0.12966	0.2083445383	23.19269694	11.45	0
560000	0.1369509044	0.1779661017	0.1278333333	0.2083445383	23.0956278	11.64	0
570000	0.1239368165	0.166023166	0.1269285714	0.2083445383	23.24262955	11.83	0
580000	0.1127633209	0.1803278689	0.1264	0.2083445383	23.16712169	12.02	0
590000	0.1085568327	0.1419828641	0.1254	0.2083445383	23.05403775	12.21	0
600000	0.1063040791	0.1630847029	0	0.1731569116	23.02332923	12.4	0
610000	0.1476426799	0.1675062972	0.1354	0.1731569116	22.98325551	12.59	0
620000	0.1703877791	0.1615487316	0.1377	0.1731569116	22.98959089	12.78	0
630000	0.1439490446	0.1472392638	0.1347666667	0.1731569116	22.84425757	12.97	0
640000	0.1340996169	0.1432068543	0.133175	0.1731569116	22.85126356	13.16	0
650000	0.1430463576	0.1704142012	0.13266	0.1731569116	22.85562238	13.35	0
660000	0.1303797468	0.1469135802	0.1311166667	0.1731569116	22.78074148	13.54	0
670000	0.1363636364	0.1638554217	0.1310285714	0.1731569116	22.81146919	13.73	0
680000	0.1062801932	0.1502590674	0.129475	0.1731569116	22.72505214	13.92	0
690000	0.1458852868	0.1390977444	0.1282	0.1731569116	22.72871043	14.11	0
700000	0.1015424165	0.1350364964	0	0.1489734611	22.66428093	14.3	0
710000	0.164556962	0.1790123457	0.1415	0.1489734611	22.70255046	14.49	0
720000	0.1565967941	0.1482889734	0.142	0.1489734611	22.68418804	14.68	0
730000	0.1431980907	0.1417322835	0.1415333333	0.1489734611	22.59706847	14.87	0
740000	0.1363636364	0.1457831325	0.140475	0.1489734611	22.66396571	15.06	0
750000	0.1377091377	0.1567436209	0.13992	0.1489734611	22.55723077	15.25	0
760000	0.1373762376	0.1565656566	0.1401833333	0.1489734611	22.59161236	15.44	0
770000	0.1226533166	0.1335830212	0.1386428571	0.1489734611	22.62793633	15.63	0
780000	0.1184538653	0.1278195489	0.1375125	0.1489734611	22.52676259	15.82	0
790000	0.1491002571	0.1569343066	0.1355	0.1489734611	22.48335586	16.01	0
800000	0.1329987453	0.1531755915	0	0.1329175918	22.53154545	16.2	0
810000	0.1579586877	0.1505791506	0.149	0.1329175918	22.47770666	16.39	0
820000	0.1815920398	0.1670854271	0.14525	0.1329175918	22.49192663	16.58	0
830000	0.1526717557	0.1658476658	0.1433333333	0.1329175918	22.40817487	16.77	0
840000	0.1795817958	0.1397712834	0.1419	0.1329175918	22.43201823	16.96	0
850000	0.1092544987	0.1338199513	0.14228	0.1329175918	22.2996083	17.15	0
860000	0.1573849879	0.149870801	0.1412666667	0.1329175918	22.37294798	17.34	0
870000	0.1348600509	0.1425061425	0.1402428571	0.1329175918	22.32221759	17.53	0
880000	0.1565967941	0.1356147022	0.1391875	0.1329175918	22.27756438	17.72	0
890000	0.1416149068	0.1232704403	0.1377444444	0.1329175918	22.19465665	17.91	0
900000	0.1126237624	0.1338383838	0	0.1183042269	22.23109392	18.1	0
910000	0.137804878	0.1474358974	0.1424	0.1183042269	22.2838859	18.29	0
920000	0.1664684899	0.1646903821	0.14875	0.1183042269	22.19781472	18.48	0
930000	0.1383647799	0.1465838509	0.1473	0.1183042269	22.17543972	18.67	0
940000	0.1358024691	0.1443037975	0.1455	0.1183042269	22.14504752	18.86	0
950000	0.1382007823	0.1284513806	0.14474	0.1183042269	22.17399069	19.05	0
960000	0.1285714286	0.1469879518	0.1436	0.1183042269	22.12247451	19.24	0
970000	0.1722365039	0.1338199513	0.1424571429	0.1183042269	22.16615111	19.43	0
980000	0.1353092784	0.1504854369	0.14165	0.1183042269	22.13025246	19.62	0
990000	0.1460234681	0.144057623	0.1409666667	0.1183042269	22.14372156	19.81	0
